image,x0,y0,x1,y1
0.png,104,20,143,58
1.png,68,175,118,223
2.png,163,173,218,239
3.png,48,157,84,201
4.png,32,34,90,86
5.png,69,201,120,245
6.png,167,99,212,135
7.png,157,67,197,108
8.png,131,157,189,219
9.png,163,93,217,158
10.png,94,15,153,71
11.png,29,112,82,176
12.png,150,190,194,239
13.png,126,93,172,139
14.png,113,154,149,204
15.png,42,111,87,159
16.png,187,66,242,118
17.png,54,94,96,139
18.png,70,93,111,149
19.png,111,107,163,151
20.png,129,132,180,174
21.png,159,73,204,119
22.png,45,62,97,135
23.png,144,10,185,52
24.png,127,169,179,227
25.png,31,65,80,112
26.png,92,23,141,68
27.png,126,77,164,118
28.png,9,154,52,198
29.png,171,106,223,178
30.png,55,45,113,102
31.png,184,155,223,199
32.png,31,163,73,210
33.png,196,107,246,154
34.png,8,16,59,84
35.png,148,84,204,131
36.png,147,128,198,172
37.png,104,49,161,108
38.png,69,125,112,163
39.png,170,94,232,151
40.png,59,132,117,181
41.png,67,107,107,145
42.png,167,105,220,149
43.png,34,25,83,89
44.png,106,196,159,241
45.png,112,63,149,102
46.png,96,130,136,172
47.png,204,203,244,243
48.png,42,81,99,139
49.png,10,166,54,208
50.png,20,181,76,226
51.png,47,26,95,82
52.png,65,54,127,117
53.png,111,53,165,95
54.png,168,173,229,225
55.png,123,46,177,111
56.png,135,88,174,141
57.png,196,19,234,60
58.png,154,12,190,60
59.png,87,83,135,120
60.png,153,168,222,220
61.png,122,198,180,242
62.png,169,195,235,250
63.png,86,6,133,65
64.png,113,94,170,151
65.png,124,122,198,176
66.png,51,40,109,92
67.png,104,177,154,223
68.png,60,140,111,211
69.png,144,68,205,131
70.png,151,119,218,172
71.png,63,125,111,172
72.png,168,9,225,70
73.png,162,106,203,142
74.png,155,134,217,196
75.png,132,65,173,102
76.png,107,107,150,153
77.png,99,172,159,237
78.png,145,48,205,102
79.png,44,36,87,74
80.png,92,132,159,188
81.png,26,160,72,220
82.png,25,206,69,245
83.png,180,170,228,211
84.png,110,80,163,129
85.png,76,121,141,179
86.png,175,173,221,229
87.png,16,79,73,141
88.png,167,152,215,199
89.png,48,9,87,62
90.png,125,125,171,167
91.png,117,14,166,68
92.png,179,117,239,166
93.png,54,179,109,247
94.png,16,55,69,103
95.png,8,50,63,114
96.png,141,135,188,179
97.png,86,16,141,89
98.png,155,23,195,83
99.png,28,73,74,115
100.png,89,104,145,159
101.png,193,208,238,249
102.png,138,147,187,214
103.png,203,51,242,91
104.png,54,151,88,197
105.png,112,119,156,167
106.png,98,130,153,198
107.png,42,6,97,72
108.png,5,126,54,169
109.png,23,179,67,221
110.png,202,108,249,153
111.png,47,96,88,133
112.png,37,64,91,132
113.png,173,165,221,218
